ClID,sig200,M200,r200,N200,z,J,log10_J,k_best,mean_error,k_theory,log10_k_ratio
247.0,510.16,2.017e+14,0.937,36,0.0584,2.091e+73,73.32,1.000e-42,0.8870,1.796e-50,-49.75
254.0,536.07,1.986e+14,0.926,35,0.0767,2.140e+73,73.33,1.000e-42,0.7920,1.816e-50,-49.74
262.0,549.14,1.954e+14,0.931,66,0.0442,2.167e+73,73.34,1.000e-42,0.7308,1.807e-50,-49.74
266.0,484.29,1.945e+14,0.916,32,0.0902,1.872e+73,73.27,1.000e-42,0.9739,1.837e-50,-49.74
268.0,520.93,1.940e+14,0.931,41,0.0354,2.043e+73,73.31,1.000e-42,0.8178,1.806e-50,-49.74
271.0,517.20,1.927e+14,0.917,45,0.0754,1.984e+73,73.30,1.000e-42,0.8382,1.833e-50,-49.74
275.0,507.78,1.917e+14,0.921,53,0.0578,1.946e+73,73.29,1.000e-42,0.8640,1.826e-50,-49.74
278.0,549.99,1.908e+14,0.926,92,0.0349,2.109e+73,73.32,1.000e-42,0.7119,1.816e-50,-49.74
282.0,476.46,1.901e+14,0.914,35,0.0733,1.797e+73,73.25,1.000e-42,0.9858,1.840e-50,-49.74
288.0,552.69,1.891e+14,0.909,37,0.0837,2.062e+73,73.31,1.000e-42,0.7119,1.850e-50,-49.73
290.0,519.95,1.881e+14,0.916,56,0.0549,1.943e+73,73.29,1.000e-42,0.8078,1.836e-50,-49.74
303.0,583.85,1.840e+14,0.905,34,0.0700,2.109e+73,73.32,1.000e-42,0.6021,1.859e-50,-49.73
307.0,522.95,1.819e+14,0.900,38,0.0764,1.857e+73,73.27,1.000e-42,0.7836,1.870e-50,-49.73
310.0,576.10,1.811e+14,0.902,37,0.0638,2.041e+73,73.31,1.000e-42,0.6134,1.865e-50,-49.73
314.0,466.52,1.800e+14,0.908,57,0.0380,1.653e+73,73.22,1.000e-42,0.9802,1.853e-50,-49.73
322.0,605.47,1.767e+14,0.873,42,0.1367,2.028e+73,73.31,1.000e-42,0.5413,1.926e-50,-49.72
324.0,518.44,1.762e+14,0.879,38,0.1135,1.744e+73,73.24,1.000e-42,0.7913,1.913e-50,-49.72
333.0,525.19,1.741e+14,0.892,71,0.0584,1.769e+73,73.25,1.000e-42,0.7453,1.886e-50,-49.72
