galaxy_name,k_optimal,log10_k_optimal,mean_error_pct,J_new,log10_J_new,h_kpc,B_T,SB_disk_center
UGC00128,1.7880339652838053e-38,-37.74762423565463,50.27569565707638,1.249631e+66,66.0967817903504,5.949,,257.06
UGC00191,6.669932301460583e-37,-36.175878574067156,25.21889169590084,3.889408e+64,64.5898835031512,1.5873,,235.09
UGC00634,1.269418300078034e-35,-34.89639524513848,30.808540773873496,1.660802e+65,65.22031785916236,2.4349,,117.61
UGC00731,9.710371607668246e-36,-35.01276414969327,35.722701486501116,2.827614e+64,64.45142012326076,2.3526,,75.24
UGC00891,1.6957485528854472e-36,-35.77063854488015,36.91985838701153,7.44106e+63,63.8716348064276,1.4068,,107.46
UGC01230,1e-45,-45.0,40.72952968366357,7.152372e+65,65.85445009434292,4.3384,,137.92
UGC01281,1e-45,-45.0,52.86287579461181,2.322637e+63,63.36598134014221,1.4122,,199.72
UGC02023,1e-45,-45.0,15.491085376923763,8.203043e+63,63.913974988110006,1.5618,,98.0
UGC02259,2.5380006942376826e-35,-34.59550826344559,23.616915516418345,2.348775e+64,64.37084141569689,1.6204,,239.24
UGC02455,1e-45,-45.0,107.9078406183526,2.717821e+64,64.43422085001524,1.0344,,3712.19
UGC02487,3.913905019238648e-37,-36.40738971779939,20.981776059174887,1.090002e+68,68.0374272948105,7.9702,0.2087,1150.35
UGC02885,1.247441689041691e-38,-37.903979746080765,20.152010148122802,9.742876e+67,67.98868717521137,10.1252,0.0973,1647.52
UGC02916,1e-45,-45.0,15.630345515982194,9.371544e+66,66.97181114856537,6.1512,0.3947,520.99
UGC02953,1e-45,-45.0,20.341999926209724,1.958168e+67,67.29184994913363,3.5513,0.0915,4215.31
UGC03205,2.995251049062801e-38,-37.52356677105318,12.034708532548148,6.478974e+66,66.81150623713329,3.2456,0.0806,1434.93
UGC03546,1e-45,-45.0,27.916436727442516,4.897174e+66,66.68994553507751,2.7601,0.2048,4254.32
UGC03580,1e-45,-45.0,41.130971039736615,3.46428e+65,65.53961298656141,2.3302,0.1772,1171.74
UGC04278,1.9602146271199007e-38,-37.70769637442377,35.52336633955058,3.569468e+64,64.55260349289618,1.5623,,633.91
UGC04305,1e-45,-45.0,18.935556568660683,7.318489e+63,63.86442142440537,1.1051,,88.89
UGC04325,9.692479169918737e-36,-35.01356512366087,25.868136042149402,2.985135e+64,64.47496397648023,1.4173,,227.21
UGC04483,5.782445906845981e-35,-34.23788842124099,24.969778437215233,2.092234e+61,61.320610255350864,0.1789,,39.67
UGC04499,2.5115415208455934e-36,-35.60005963768159,29.693316562653884,2.704432e+64,64.43207606605317,1.6376,,349.65
UGC05005,1e-45,-45.0,32.33274411598522,5.390003e+65,65.73158900690902,3.1999,,53.71
UGC05253,1e-45,-45.0,17.05998452548942,1.165379e+67,67.06646718788637,6.0631,0.3498,1029.98
UGC05414,5.318945484477366e-37,-36.27417446087551,18.699373895345246,6.369559e+63,63.80410936475348,1.4426,,151.23
UGC05716,1.1363860031909568e-35,-34.94447412409937,33.47412741528723,2.472321e+64,64.3931048577914,1.1465,,80.4
UGC05721,2.917414763490157e-35,-34.53500182364134,37.62312358487872,3.624865e+63,63.559291836880305,0.3813,,1277.7
