galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
NGC1003,11.4,30.24,115.0,2.47143e+65,65.39294831415174,9.327249780862248e-36,-35.03024639280961,195.947979582363,0.42021650791096327,42.02165079109633
NGC1090,37.0,30.09,160.0,4.84383e+66,66.68518889265485,5.915078626805635e-38,-37.22803947809254,94.00416212227128,0.2904386984764211,29.043869847642114
NGC1705,5.73,6.0,71.5,1.823347e+63,63.26086932682529,2.1883748406763526e-34,-33.6598782868658,6.936408267445198,0.22972441386081285,22.972441386081286
NGC2366,3.27,6.06,49.4,3.30492e+63,63.51916095127127,1.3577634643302602e-35,-34.867175881810724,50.06500230616296,0.5433976424808503,54.33976424808503
NGC2403,3.16,20.87,134.0,2.100832e+65,65.32239132399559,4.620257354996846e-37,-36.335333832941245,446.066409934282,0.2515037126122048,25.150371261220478
NGC2683,9.81,34.62,151.0,6.470437e+66,66.81093361301484,1e-45,-45.0,12.435011311195412,0.16949354881436715,16.949354881436715
NGC2841,14.1,63.64,294.0,1.711831e+67,67.23346088686549,1.291959769133426e-36,-35.88875100980486,226.50594919494952,0.27749639057853526,27.749639057853525
NGC2903,6.6,24.96,180.0,2.029176e+66,66.30731971707469,1e-45,-45.0,225.30443901369944,0.3988483551188444,39.88483551188444
NGC2915,4.06,10.04,86.5,4.700836e+63,63.67217510004223,1.7923279474437988e-34,-33.746582523281944,15.412222043664944,0.6800757689350884,68.00757689350884
NGC2955,97.9,35.43,227.0,3.4025e+67,67.53179813387537,1e-45,-45.0,57.75575952486758,0.14373065377967106,14.373065377967107
NGC2976,3.58,2.27,85.3,1.216545e+64,64.085128178117,1e-45,-45.0,1.04705088545754,0.11558526427793489,11.558526427793488
NGC2998,68.1,42.28,203.0,2.234057e+67,67.3490942495628,2.727778592422915e-37,-36.56419088327922,100.94174428372278,0.5428727488459023,54.28727488459023
NGC3109,1.33,6.45,67.3,2.083339e+63,63.3187599439038,1.5990787209746163e-35,-34.79613015586393,101.77132532735746,0.5728069943851967,57.28069943851967
NGC3198,13.8,44.08,149.0,1.887833e+66,66.27596357344387,5.660940215245819e-37,-36.247111431641805,258.76079973949123,0.51498363708137,51.498363708137
NGC3521,7.7,17.74,206.0,2.502308e+66,66.39834076437735,1e-45,-45.0,29.40574058757768,0.2458209230305184,24.582092303051837
NGC3726,18.0,32.52,167.0,3.931762e+66,66.59458722095688,1e-45,-45.0,21.443887437717574,0.20607192242348596,20.607192242348596
NGC3741,3.21,7.0,51.6,5.056324e+62,62.703834894962576,1.738015386707493e-34,-33.75994638304697,52.0124024502825,0.46658489018717425,46.658489018717425
NGC3769,18.0,37.16,113.0,4.59185e+65,65.66198769270954,9.852961041160993e-37,-36.00643323441744,20.875524979764414,0.30592205218773116,30.592205218773117
NGC3877,18.0,11.35,169.0,5.17013e+66,66.7135014633208,1e-45,-45.0,21.401060447761274,0.2628199695484617,26.28199695484617
NGC3893,18.0,19.05,167.0,3.801592e+66,66.57996550504475,1e-45,-45.0,16.73618555864548,0.17361173266677848,17.36117326667785
NGC3917,18.0,14.86,137.0,9.015542e+65,65.95499184093457,1.53356624227191e-37,-36.81429745996071,35.27576576592718,0.2550040845159932,25.50040845159932
NGC3949,18.0,7.07,169.0,1.42293e+66,66.15318353581057,1e-45,-45.0,28.087672366813102,0.19131223336269446,19.131223336269446
NGC3953,18.0,15.68,215.0,1.584885e+67,67.1999977550854,1e-45,-45.0,8.634116509620066,0.08186018179771314,8.186018179771313
